episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
55,-72.04599999999994,60,0.7986475,11.365382385253906,4240,33,10,10.465999999999823,8
56,-198.71300000000005,105,0.79366,11.319090274664072,4345,56,41,16.842999999999837,8
57,-619.591,69,0.7903825,10.615246043485755,4414,38,51,11.930999999999784,8
58,-485.59000000000003,69,0.787105,11.277791247648352,4483,41,44,11.92999999999979,8
59,-423.03399999999993,79,0.7833525,11.056994152069091,4562,41,39,13.373999999999757,8
60,-247.36399999999992,51,0.78093,11.29599087054913,4613,34,22,10.04399999999983,8
61,-512.3390000000002,52,0.77846,10.516837156735933,4665,29,35,9.448999999999842,8
62,-862.624,76,0.77485,11.11181314367997,4741,45,73,13.843999999999747,8
63,-395.445,53,0.7723325,11.12288915193998,4794,31,28,10.784999999999815,8
64,-139.63999999999993,58,0.7695775,10.457961273193359,4852,38,18,10.48999999999982,8
65,-94.64900000000006,69,0.7663,10.49608454984777,4921,42,20,12.888999999999761,8
66,-370.55099999999993,50,0.763925,10.778648138046265,4971,30,27,9.480999999999844,8
67,-187.59100000000004,64,0.760885,12.334942936897278,5035,34,18,10.200999999999826,8
68,-331.74300000000005,64,0.757845,13.694188892841339,5099,36,30,10.772999999999813,8
69,-634.8800000000002,83,0.7539025,11.633552528563,5182,42,56,13.349999999999774,8
70,-166.142,51,0.75148,12.866431896503155,5233,31,14,8.901999999999854,8
71,-128.18899999999996,75,0.7479175,11.227373474522642,5308,41,21,11.608999999999796,8
72,-190.343,61,0.74502,10.73593111038208,5369,31,16,10.152999999999828,8
73,-306.89200000000005,48,0.74274,10.757582108179728,5417,28,20,8.961999999999854,8
74,-357.1929999999999,59,0.7399375,13.121466700236002,5476,36,32,10.562999999999812,8
75,-152.92900000000014,57,0.73723,11.75994689123971,5533,29,11,10.16899999999982,8
76,-367.99199999999996,71,0.7338575,11.676349745856392,5604,37,33,10.901999999999832,8
77,-193.84699999999998,56,0.7311975000000001,11.25439201082502,5660,34,18,10.196999999999827,8
78,-433.6909999999999,64,0.7281575,11.32709750533104,5724,34,34,10.910999999999815,8
79,-1630.6640000000002,63,0.7251650000000001,11.992933972676594,5787,34,117,11.693999999999797,7
80,-899.7119999999999,75,0.7216025,10.764037960454038,5862,40,71,12.081999999999788,8
81,-370.83900000000006,75,0.71804,11.445358477140728,5937,41,37,13.038999999999753,8
82,-618.3309999999999,64,0.7150000000000001,10.850992739200592,6001,36,49,10.440999999999823,8
83,-262.43500000000006,60,0.7121500000000001,14.875749333699543,6061,32,21,10.524999999999821,8
84,-98.51299999999998,47,0.7099175,13.812253872553507,6108,33,11,9.492999999999842,8
85,-719.8649999999999,69,0.7066399999999999,12.097432865816003,6177,43,62,11.914999999999788,8
86,-469.27000000000004,61,0.7037424999999999,11.694541041056315,6238,37,40,11.509999999999797,8
87,-342.7099999999999,69,0.700465,12.41355349035824,6307,37,32,11.3599999999998,8
88,-125.73499999999993,58,0.69771,11.568286736806234,6365,31,12,10.674999999999834,8
89,-295.279,58,0.694955,11.198631627219063,6423,33,24,11.038999999999808,8
90,-364.86600000000016,57,0.6922475,12.810767332712809,6480,35,32,9.795999999999845,8
91,-97.2790000000001,70,0.6889225,11.11581802368164,6550,38,16,10.958999999999806,8
92,-195.42099999999994,53,0.6864049999999999,12.011439983661358,6603,30,15,9.17099999999985,8
93,-385.21199999999993,64,0.683365,11.239427089691162,6667,40,37,11.981999999999795,8
94,-425.491,51,0.6809425,10.680476995614859,6718,29,29,9.640999999999838,8
95,-166.99200000000008,57,0.678235,12.348623718534197,6775,32,15,10.47199999999983,8
96,-178.788,64,0.675195,11.292568445205688,6839,36,19,10.077999999999827,8
97,-599.3019999999999,65,0.6721075000000001,12.533483729642981,6904,41,52,11.221999999999804,8
98,-537.0509999999999,61,0.6692100000000001,13.840570449829102,6965,38,46,11.290999999999805,8
99,-241.69899999999998,55,0.6665975,14.5522107396807,7020,31,19,9.948999999999828,8
100,-234.66400000000002,52,0.6641275,14.48684604351337,7072,35,23,9.34399999999984,8
101,-72.89600000000002,58,0.6613725,13.182624067578997,7130,34,10,9.745999999999832,8
102,-140.7960000000001,62,0.6584275,13.466758966445923,7192,34,16,10.715999999999815,8
103,-560.3910000000001,59,0.655625,13.936340468270439,7251,33,43,10.290999999999823,8
104,-215.47399999999982,71,0.6522525,13.381909529368082,7322,43,28,11.803999999999789,8
105,-255.87,47,0.65002,13.389060894648233,7369,28,17,9.309999999999844,8
106,-122.12699999999994,67,0.6468375,14.079213226542754,7436,38,18,11.426999999999802,8
107,-161.18099999999995,53,0.64432,13.337350698617788,7489,31,14,9.830999999999834,8
108,-370.024,77,0.6406625,12.436675423070005,7566,50,46,13.353999999999749,8
109,-82.28900000000006,92,0.6362924999999999,13.727091581925102,7658,50,27,13.618999999999769,8
110,-347.27299999999997,61,0.6333949999999999,12.707623926798503,7719,34,29,10.992999999999807,8
111,-93.30999999999986,67,0.6302125000000001,12.381072857800651,7786,37,15,10.709999999999809,8
112,-188.16600000000014,60,0.6273625,12.731944497426351,7846,33,17,11.165999999999805,8
113,-83.39900000000003,45,0.6252249999999999,12.794928117231889,7891,30,8,8.268999999999842,8
114,-449.469,68,0.6219950000000001,12.738226049086627,7959,36,37,11.1689999999998,8
115,-94.80399999999989,56,0.619335,14.55663503919329,8015,33,12,9.703999999999866,8
116,-90.14300000000007,62,0.61639,14.96745252609253,8077,37,14,11.182999999999808,8
117,-369.9629999999999,76,0.61278,13.942740289788498,8153,38,34,11.922999999999789,8
118,-478.4630000000001,72,0.60936,14.00700569152832,8225,40,43,11.262999999999797,8
119,-229.13299999999992,74,0.605845,13.854656484391954,8299,41,28,13.232999999999759,8
120,-153.5730000000001,65,0.6027575000000001,12.689204159904929,8364,35,17,10.392999999999798,8
121,-456.994,48,0.6004775,14.711640437444052,8412,27,29,8.75399999999986,8
122,-124.01200000000016,46,0.5982925,12.627431175925516,8458,27,8,8.941999999999851,8
123,-130.75099999999998,58,0.5955375,12.48901014328003,8516,35,16,10.190999999999821,8
124,-206.22699999999992,47,0.593305,13.29827525398948,8563,30,16,9.206999999999843,8
125,-411.71900000000005,70,0.5899800000000001,12.41599671045939,8633,41,39,11.91899999999978,8
126,-123.51899999999995,62,0.587035,12.955489381154377,8695,40,20,10.488999999999818,8
127,-565.7860000000001,67,0.5838525000000001,13.148518506218405,8762,33,43,10.565999999999814,8
128,-79.32399999999991,76,0.5802425,11.68219804763794,8838,41,18,11.693999999999795,8
129,-130.39499999999998,53,0.577725,13.14718539898212,8891,33,14,9.554999999999842,8
130,-192.7509999999999,60,0.574875,11.767495409647625,8951,33,18,11.260999999999799,8
131,-62.93000000000001,72,0.571455,13.40199195014106,9023,41,17,11.919999999999792,8
132,-904.342,67,0.5682725,13.601100360645967,9090,38,70,11.251999999999827,8
133,-221.19700000000003,53,0.565755,14.518871160653921,9143,34,21,8.916999999999861,8
134,-143.69200000000006,45,0.5636175000000001,13.032707770665487,9188,29,11,8.441999999999863,8
135,-120.33899999999991,49,0.5612900000000001,14.5475861231486,9237,30,10,9.078999999999851,8
136,52.431999999999945,74,0.557775,14.397633658515083,9311,46,15,12.467999999999778,8
137,-345.53700000000003,72,0.5543549999999999,14.000883791181776,9383,42,36,11.67699999999978,8
138,-323.56600000000003,64,0.551315,13.758778750896454,9447,45,38,12.135999999999783,8
139,-290.7130000000001,51,0.5488925,13.318103643564077,9498,29,20,8.852999999999858,8
140,-872.2889999999998,73,0.545425,13.163580629560682,9571,34,64,11.098999999999801,8
141,72.12300000000006,65,0.5423375,14.282959825852338,9636,40,7,12.336999999999774,8
142,-423.51800000000014,76,0.5387275,14.052410828439813,9712,45,45,12.207999999999778,8
143,-138.82699999999994,46,0.5365425,12.85703637383201,9758,31,13,8.786999999999901,8
144,-453.889,68,0.5333125000000001,14.685816091649672,9826,38,40,10.918999999999803,8
