episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
86,-48.01899999999998,32,0.81152,1.4278370663523674,2977,24,0,8.018999999999874,8
87,-63.02799999999996,31,0.8095566666666667,1.5910080298781395,3008,23,0,8.02799999999989,8
88,-18.043999999999926,34,0.8074033333333334,1.5045734569430351,3042,26,0,8.043999999999913,8
89,-93.02999999999993,31,0.8054399999999999,1.2403117418289185,3073,23,2,8.029999999999873,8
90,-3.0300000000000793,36,0.80316,1.5692725314034357,3109,28,1,8.029999999999887,8
91,-18.01700000000011,34,0.8010066666666666,1.2024971395730972,3143,26,0,8.016999999999882,8
92,-53.52200000000002,34,0.7988533333333334,0.9039048122035133,3177,26,2,8.021999999999872,8
93,-62.987999999999964,32,0.7968266666666667,1.2726115733385086,3209,24,1,7.987999999999881,8
94,-62.98500000000007,31,0.7948633333333334,1.1501357704401016,3240,23,0,7.984999999999874,8
95,-33.015000000000015,33,0.7927733333333333,1.1794555969536304,3273,25,0,8.014999999999894,8
96,-38.220999999999975,35,0.7905566666666667,1.2597194380230374,3308,27,2,8.020999999999871,8
97,-48.025000000000006,34,0.7884033333333333,1.1841495633125305,3342,26,2,8.024999999999874,8
98,26.98100000000008,37,0.78606,0.8256123463312784,3379,29,0,8.018999999999881,8
99,-32.90900000000002,33,0.7839700000000001,1.4768405225541856,3412,25,0,7.908999999999867,8
100,-48.02199999999996,35,0.7817533333333333,1.4184936881065369,3447,26,2,8.021999999999865,8
101,-18.006999999999948,34,0.7796,1.4650434586736891,3481,26,0,8.006999999999863,8
102,-48.035,32,0.7775733333333333,1.171508252620697,3513,24,0,8.034999999999894,8
103,-47.92400000000004,32,0.7755466666666666,1.3296624347567558,3545,24,0,7.923999999999876,8
104,-17.997999999999934,35,0.7733300000000001,0.8157136175367568,3580,27,1,7.997999999999874,8
105,-62.91599999999994,32,0.7713033333333333,0.8246822133660316,3612,24,1,7.915999999999884,8
106,-33.01400000000001,34,0.76915,1.0665729343891144,3646,26,1,8.01399999999988,8
107,-83.41200000000002,32,0.7671233333333334,0.7758847214281559,3678,24,2,8.011999999999873,8
108,-3.020000000000067,36,0.7648433333333333,1.1149251560370128,3714,28,1,8.01999999999987,8
109,11.984000000000044,36,0.7625633333333334,0.8477576010757022,3750,28,0,8.015999999999917,8
110,-63.025000000000006,34,0.76041,1.3307100534439087,3784,25,2,8.024999999999869,8
111,12.007999999999981,36,0.75813,1.1232520242532094,3820,28,0,7.991999999999884,8
112,-47.93899999999999,33,0.75604,1.0582240968942642,3853,25,1,7.938999999999888,8
113,-2.9820000000000277,38,0.7536333333333334,1.08074375655916,3891,30,3,7.981999999999842,8
114,-47.995000000000005,32,0.7516066666666666,1.1015366613864899,3923,24,0,7.994999999999867,8
115,-32.99699999999996,33,0.7495166666666666,1.1938341127501593,3956,25,0,7.996999999999893,8
116,-3.016000000000048,35,0.7473000000000001,1.1885741539299488,3991,27,0,8.015999999999877,8
117,-108.00999999999999,30,0.7454000000000001,1.019643060863018,4021,22,2,8.009999999999872,8
118,-17.956000000000017,34,0.7432466666666666,1.2404350489377975,4055,26,0,7.955999999999868,8
119,-18.03400000000012,34,0.7410933333333334,1.144189265039232,4089,26,0,8.033999999999876,8
120,41.97200000000004,38,0.7386866666666667,1.5212567845980327,4127,30,0,8.02799999999986,8
121,-194.571,31,0.7367233333333334,0.9681584499776363,4158,22,7,7.970999999999875,8
122,-3.026000000000039,35,0.7345066666666666,1.0046630865997739,4193,27,0,8.02599999999987,8
123,27.002999999999986,37,0.7321633333333334,0.857706669304106,4230,29,0,7.9969999999998835,8
124,-32.99099999999997,34,0.73001,0.9484163257810805,4264,26,1,7.990999999999866,8
125,-114.2100000000001,31,0.7280466666666667,1.336744202034814,4295,23,3,8.009999999999875,8
126,-3.003000000000071,35,0.72583,1.1345838970608182,4330,27,0,8.002999999999872,8
127,-78.01999999999998,31,0.7238666666666667,0.9674944132566452,4361,23,1,8.019999999999886,8
128,-68.29999999999987,33,0.7217766666666667,0.8652501478791237,4394,25,2,7.999999999999869,8
129,71.97000000000003,40,0.7192433333333333,0.939943727850914,4434,32,0,8.029999999999898,8
130,-62.96100000000007,32,0.7172166666666666,1.0935514755547047,4466,24,1,7.960999999999879,8
131,-108.02299999999997,31,0.7152533333333333,0.9335680790245533,4497,23,3,8.02299999999987,8
132,-3.0329999999999586,36,0.7129733333333333,1.4440915319654677,4533,28,1,8.032999999999886,8
133,56.97399999999993,39,0.7105033333333333,1.2848694145679473,4572,31,0,8.025999999999897,8
134,-32.99900000000008,33,0.7084133333333333,1.1420961916446686,4605,25,0,7.9989999999998735,8
135,-3.0349999999999397,35,0.7061966666666666,1.3304161429405212,4640,27,0,8.034999999999878,8
136,-3.0249999999999773,35,0.70398,1.0465794652700424,4675,27,0,8.024999999999892,8
137,-3.0220000000000766,35,0.7017633333333333,0.9443907737731934,4710,27,0,8.021999999999869,8
138,56.96599999999988,39,0.6992933333333333,0.9672694087028504,4749,31,0,8.033999999999878,8
139,-53.11800000000008,35,0.6970766666666667,0.838878505759769,4784,27,3,8.017999999999875,8
140,6.777999999999906,36,0.6947966666666667,1.0315418442090352,4820,28,0,8.021999999999874,8
141,-33.00699999999999,33,0.6927066666666667,1.0811789259314537,4853,25,0,8.006999999999879,8
142,26.971999999999852,38,0.6903,1.1980053186416626,4891,30,1,8.02799999999988,8
143,56.98400000000012,39,0.6878299999999999,0.9404990464448929,4930,31,0,8.015999999999892,8
144,-32.99899999999991,34,0.6856766666666667,1.0708305935064952,4964,26,1,7.998999999999866,8
145,26.979000000000056,37,0.6833333333333333,0.6713551349110074,5001,29,0,8.020999999999885,8
146,-2.987000000000023,35,0.6811166666666667,1.2546530432171292,5036,27,0,7.98699999999989,8
147,-63.008999999999986,32,0.67909,1.3276146054267883,5068,24,1,8.008999999999885,8
148,11.983000000000033,37,0.6767466666666666,1.0044982499546475,5105,29,1,8.01699999999987,8
149,-63.018,33,0.6746566666666667,1.1678649485111237,5138,25,2,8.017999999999875,8
150,-98.09500000000003,31,0.6726933333333334,0.9646707475185394,5169,23,2,7.994999999999915,8
151,-77.99300000000002,31,0.67073,1.0536667853593826,5200,23,1,7.992999999999897,8
152,-48.021000000000015,34,0.6685766666666667,1.0512611791491508,5234,26,2,8.020999999999907,8
153,12.002999999999957,36,0.6662966666666668,1.0818230542871687,5270,28,0,7.996999999999874,8
154,-48.023000000000096,32,0.66427,0.9733041673898697,5302,24,0,8.022999999999875,8
155,41.97499999999989,38,0.6618633333333334,1.068148946762085,5340,30,0,8.024999999999872,8
156,-8.10500000000006,35,0.6596466666666667,0.9513672590255737,5375,27,0,8.004999999999875,8
157,-113.31400000000002,36,0.6573666666666667,1.0552999907069736,5411,25,5,8.013999999999873,8
158,11.972000000000065,36,0.6550866666666667,1.1111012432310317,5447,28,0,8.02799999999985,8
159,-23.73100000000008,34,0.6529333333333334,0.7809994320074717,5481,26,0,8.03099999999987,8
160,-3.025000000000013,35,0.6507166666666667,1.3122835291756525,5516,27,0,8.024999999999867,8
161,-63.01599999999996,33,0.6486266666666667,0.9261364080011845,5549,25,2,8.015999999999867,8
162,-32.95900000000003,33,0.6465366666666668,1.1187750585377216,5582,25,0,7.958999999999875,8
163,-78.01700000000002,32,0.64451,1.0671307444572449,5614,24,2,8.016999999999866,8
164,-32.96200000000002,33,0.64242,1.062192663550377,5647,25,0,7.961999999999877,8
165,-3.021000000000072,35,0.6402033333333333,1.0253481997383966,5682,27,0,8.020999999999873,8
166,-2.997000000000078,35,0.6379866666666667,1.0543598863813612,5717,27,0,7.996999999999897,8
167,-18.003999999999905,34,0.6358333333333333,1.0385445207357407,5751,26,0,8.003999999999879,8
168,-18.039000000000016,36,0.6335533333333334,1.0832278397348192,5787,28,2,8.03899999999991,8
169,-48.015000000000015,32,0.6315266666666667,1.1559668257832527,5819,24,0,8.014999999999882,8
170,-47.99700000000004,33,0.6294366666666666,1.0171649522251553,5852,25,1,7.9969999999998835,8
171,-93.005,31,0.6274733333333333,1.093762878860746,5883,23,2,8.004999999999908,8
172,21.470999999999975,37,0.62513,0.8265425980091095,5920,29,0,8.028999999999874,8
173,-18.019999999999925,35,0.6229133333333333,1.0087889805436134,5955,27,1,8.019999999999872,8
174,-123.01299999999995,28,0.62114,1.0602256442819322,5983,20,1,8.012999999999886,8
175,-62.943000000000026,32,0.6191133333333334,1.157290991395712,6015,24,1,7.942999999999873,8
176,-18.032999999999944,35,0.6168966666666666,1.1776541670163472,6050,27,1,8.032999999999872,8
177,-32.97399999999999,34,0.6147433333333333,0.893095937040117,6084,26,1,7.97399999999996,8
178,-48.01600000000002,33,0.6126533333333333,1.062911070883274,6117,25,1,8.01599999999987,8
179,-63.002,34,0.6105,1.1500759422779083,6151,26,3,8.001999999999859,8
180,-113.53000000000009,34,0.6083466666666667,1.3026166160901387,6185,26,6,8.029999999999873,8
181,11.982000000000028,36,0.6060666666666666,1.0286470320489671,6221,28,0,8.017999999999873,8
