episode,episode_return,episode_steps,epsilon,loss,buffer_size,delivered,dropped,energy,depletion_events
84,-38.08200000000005,35,0.8152566666666666,1.1199772987100813,2918,27,2,7.981999999999874,8
85,-63.03200000000004,32,0.81323,1.0398391857743263,2950,24,1,8.031999999999872,8
86,-33.017000000000024,33,0.81114,0.9083209410309792,2983,25,0,8.016999999999875,8
87,-33.00600000000006,33,0.80905,1.1190191209316254,3016,25,0,8.005999999999887,8
88,-3.0359999999999374,35,0.8068333333333333,1.3616586178541183,3051,27,0,8.035999999999923,8
89,-78.02600000000012,30,0.8049333333333333,1.1883874833583832,3081,22,0,8.025999999999874,8
90,-3.0169999999999675,36,0.8026533333333333,1.080751121044159,3117,28,1,8.016999999999904,8
91,-33.00700000000006,34,0.8005,0.7016945704817772,3151,26,1,8.006999999999874,8
92,-113.22400000000003,32,0.7984733333333334,1.1220311932265759,3183,23,3,8.023999999999873,8
93,-2.995999999999981,35,0.7962566666666666,1.2501283751593695,3218,27,0,7.995999999999896,8
94,-92.98199999999997,30,0.7943566666666667,0.94277373701334,3248,22,1,7.981999999999874,8
95,-78.01399999999998,31,0.7923933333333333,1.145131196294512,3279,23,1,8.013999999999895,8
96,26.97999999999999,37,0.79005,1.0606498032808305,3316,29,0,8.019999999999872,8
97,-48.02000000000007,34,0.7878966666666667,1.2737962901592255,3350,26,2,8.019999999999873,8
98,-3.0150000000000716,35,0.78568,0.7097051541010538,3385,27,0,8.01499999999988,8
99,27.072999999999958,37,0.7833366666666667,0.9477823542224036,3422,29,0,7.926999999999869,8
100,-93.01400000000008,33,0.7812466666666666,0.9145853444933891,3455,25,4,8.013999999999866,8
101,-33.01100000000008,34,0.7790933333333333,1.0309744146135118,3489,26,1,8.010999999999866,8
102,-78.03700000000002,31,0.77713,0.9129455797374249,3520,23,1,8.03699999999988,8
103,-32.926000000000066,33,0.77504,0.963867574930191,3553,25,0,7.925999999999879,8
104,57.01199999999987,39,0.77257,0.9971902698278428,3592,31,0,7.987999999999875,8
105,-47.89200000000005,32,0.7705433333333334,0.9823409989476204,3624,24,0,7.891999999999876,8
